目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
0424,2 ,80.58,85.22,85.17,88.88,85.79,79.99,84.31,88.87,1,10,1,12,6,6,1,1985,4,15,4,2,25.000,15,15,40,10,0
0425,2 ,81.69,73.25,70.44,74.50,77.82,75.03,82.16,73.66,2,28,1,5,6,6,2,1992,5,7,4,4,20.000,12,10,40,10,0
0426,2 ,74.25,75.78,62.94,63.40,69.73,71.95,73.34,66.66,1,5,4,8,2,3,#NULL!,1985,6,12,6,3,20.000,15,12,10,10,0
0427,2 ,68.73,73.35,66.69,77.77,71.51,69.41,75.48,70.33,1,10,2,5,2,3,#NULL!,1990,6,7,3,2,25.000,20,15,10,10,0
0428,2 ,62.95,72.98,81.56,74.08,73.03,69.74,71.42,77.76,2,29,3,8,6,6,2,1991,5,7,4,1,20.000,5,16,0,0,0
0429,2 ,83.93,85.63,81.56,84.72,81.06,85.81,82.03,84.77,2,20,2,10,5,6,1,1983,5,15,5,2,20.000,15,14,0,0,0
0430,2 ,86.35,87.65,88.92,81.93,85.63,88.88,86.59,77.76,2,20,2,10,5,6,1,1985,5,10,4,4,20.000,15,12,21,0,0
0431,2 ,76.14,81.05,70.30,77.77,65.13,66.13,75.47,67.01,1,6,1,3,3,2,#NULL!,1993,5,4,4,8,25.000,12,8,40,10,0
0432,2 ,70.38,57.39,55.43,70.34,64.82,69.41,71.10,66.66,2,35,1,15,3,2,#NULL!,1985,6,12,7,9,23.000,18,12,0,0,0
0433,2 ,98.93,90.18,92.67,89.77,95.13,85.81,84.49,84.77,2,34,1,6,3,5,1,1987,6,10,5,4,20.000,15,8,0,0,1
0434,2 ,81.69,83.24,81.56,81.45,82.78,99.99,82.35,85.97,2,20,1,9,4,4,#NULL!,1990,5,6,6,8,20.000,14,15,0,0,0
0435,2 ,74.67,72.77,66.69,66.66,66.65,66.66,71.04,66.66,1,6,1,6,4,6,1,1995,4,6,7,9,20.000,12,7,0,27,0
0436,2 ,79.14,78.93,77.81,81.93,84.08,77.77,91.18,78.11,2,36,1,7,3,5,1,1984,5,12,4,4,23.000,12,18,30,0,0
0437,2 ,75.59,77.80,77.81,77.77,77.76,77.77,77.77,77.76,1,13,2,4,1,1,#NULL!,1992,6,4,6,5,20.000,15,15,0,0,0
0438,2 ,84.86,85.26,77.81,88.88,80.84,88.88,80.07,81.44,2,20,1,13,3,5,1,1985,8,12,6,1,20.000,15,12,15,5,0
0439,2 ,82.67,81.97,81.56,85.19,79.31,80.85,77.77,85.54,1,11,2,12,3,5,1,1985,4,12,5,2,25.000,15,20,20,5,0
0440,2 ,81.36,82.07,70.44,78.19,80.78,83.06,82.16,84.77,2,25,1,13,5,6,2,1982,6,15,7,9,23.000,16,19,0,0,0
0441,2 ,83.21,82.26,85.17,81.45,83.85,80.52,82.35,81.87,1,21,1,13,5,6,2,1985,5,15,7,9,23.000,17,15,0,0,0
0442,2 ,74.67,75.78,74.05,74.50,74.52,77.77,75.49,74.44,2,37,2,7,3,5,1,1982,4,15,4,2,23.000,12,20,0,0,0
0443,2 ,84.26,85.91,74.05,81.93,84.02,85.81,95.60,92.20,2,35,1,8,3,5,1,1984,5,13,2,4,20.000,12,12,25,10,0
0444,2 ,85.04,80.20,81.56,85.19,82.61,83.60,84.49,84.77,1,14,2,4,2,3,#NULL!,1991,6,5,4,8,20.000,11,13,0,17,0
0445,2 ,74.67,74.52,70.44,77.77,74.52,71.95,73.20,70.33,1,10,1,15,3,5,1,1980,6,17,4,2,20.000,15,16,0,0,0
0446,2 ,83.21,84.65,81.56,84.72,84.02,83.06,82.16,81.87,1,24,2,10,3,5,1,1986,4,11,7,9,21.000,16,15,0,0,0
0447,2 ,83.21,85.63,81.56,88.88,85.63,83.60,84.49,84.77,2,35,1,15,4,5,2,1984,5,13,2,2,28.000,17,22,0,17,0
0448,2 ,73.93,75.78,70.44,74.08,72.75,72.49,73.38,73.66,1,10,1,8,3,5,1,1990,6,8,3,2,20.000,15,16,0,0,0
0449,2 ,66.15,61.01,59.33,59.71,63.64,63.92,55.54,55.12,2,20,1,5,3,5,1,1986,6,10,4,4,22.000,13,7,25,30,0
0450,2 ,90.77,93.95,96.28,99.98,99.98,99.99,97.70,96.65,2,5,1,5,3,5,1,1990,6,8,4,1,20.000,8,9,20,20,0
0451,2 ,79.84,83.24,62.94,78.19,68.43,75.23,81.96,69.98,2,30,2,5,5,6,1,1988,6,9,4,2,23.000,8,8,20,20,0
0452,2 ,77.81,77.80,77.81,77.77,77.76,77.77,77.77,77.76,2,5,2,10,3,5,1,1987,8,5,5,2,22.000,12,13,10,0,0
0453,2 ,93.53,90.94,96.28,93.03,85.63,94.70,93.46,89.22,2,25,2,7,2,3,#NULL!,1994,6,3,5,4,33.000,18,25,25,0,0
0454,2 ,69.51,73.42,73.90,73.66,61.80,83.06,82.16,71.54,1,20,1,2,4,5,2,1980,5,18,5,4,30.000,20,26,40,10,0
0455,2 ,75.78,81.50,85.17,81.03,77.76,77.77,73.38,77.76,1,6,4,8,3,5,1,1987,6,10,6,7,32.000,25,18,30,20,0
0456,2 ,77.63,77.04,70.44,77.77,80.84,80.52,82.35,81.87,2,10,1,5,3,5,1,1985,5,15,3,2,30.000,8,10,40,15,0
0457,2 ,77.81,78.21,81.56,74.50,76.30,77.77,77.77,80.67,2,26,1,7,4,2,#NULL!,1994,6,4,5,5,30.000,17,20,0,0,0
0458,2 ,82.80,82.22,81.56,77.77,81.00,75.23,80.05,81.44,2,30,1,7,5,6,1,1990,6,7,4,2,30.000,20,25,13,5,0
0459,2 ,74.25,76.91,70.44,77.77,82.08,83.60,82.16,81.09,2,32,1,10,4,5,2,1988,6,9,3,3,34.000,19,28,17,6,0
0460,2 ,72.10,69.69,74.05,74.08,63.58,72.49,68.78,74.44,1,4,2,6,2,3,#NULL!,1990,4,10,4,2,30.000,20,25,30,5,0
0461,2 ,81.15,83.30,81.41,85.61,74.75,75.56,84.43,70.33,2,10,1,6,3,5,1,1990,8,6,5,2,35.000,30,12,35,20,0
0462,2 ,71.36,72.09,63.08,74.08,71.14,71.95,73.38,69.56,2,28,2,7,5,6,1,1993,5,6,4,8,35.000,23,30,0,0,0
0463,2 ,74.25,74.80,55.58,70.34,68.43,77.77,66.67,70.33,2,27,1,3,3,2,#NULL!,1992,6,5,4,4,30.000,12,20,20,0,0
0464,2 ,77.81,77.80,77.81,77.77,77.76,74.70,77.77,77.76,1,10,1,12,3,5,1,1983,4,12,4,3,35.000,20,20,30,0,0
0465,2 ,85.37,80.81,81.56,81.93,77.76,83.06,82.35,81.87,2,15,1,10,3,5,1,1990,6,6,3,7,36.000,12,18,0,0,1
0466,2 ,87.62,92.61,81.56,84.72,82.78,83.06,82.15,85.54,2,20,1,1,3,2,#NULL!,1999,6,1,4,8,30.000,20,15,30,5,0
0467,2 ,70.25,72.37,70.44,70.34,79.23,66.34,66.86,73.74,2,35,1,12,4,5,2,1985,6,13,4,3,30.000,15,10,40,8,0
0468,2 ,55.04,55.00,55.58,52.28,55.71,50.26,55.56,51.44,2,9,1,6,5,6,1,1994,5,3,4,7,30.000,12,26,10,5,0
0469,2 ,76.70,81.50,66.54,81.03,77.76,77.77,88.88,77.76,2,15,1,3,3,5,1,1984,6,12,7,9,30.000,20,26,15,6,0
0470,2 ,87.07,86.89,88.92,85.61,85.63,80.85,88.88,84.77,1,8,1,2,4,4,#NULL!,1987,5,8,4,9,30.000,15,15,0,0,1
0471,2 ,75.78,76.54,77.81,74.50,66.65,74.70,71.04,69.98,2,18,1,9,3,5,1,1985,6,12,6,2,35.000,25,28,12,0,0
0472,2 ,77.81,76.54,77.81,77.77,77.76,77.77,77.77,77.76,2,18,1,10,3,5,1,1982,4,18,8,10,35.000,25,30,15,0,0
0473,2 ,81.36,80.81,77.81,78.19,80.84,77.77,75.49,81.44,1,20,2,8,4,5,2,1985,6,11,3,5,32.000,18,27,18,0,0
0474,2 ,83.93,80.60,81.41,74.50,82.78,75.03,77.64,81.09,2,35,2,15,3,5,1,1985,6,13,2,7,38.000,22,20,30,0,0
0475,2 ,55.58,65.43,66.69,59.71,57.32,66.66,66.67,62.98,2,17,2,13,3,5,1,1985,6,13,4,3,30.000,25,15,30,5,0
0476,2 ,98.01,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,30,2,8,3,5,1,1990,6,6,4,7,30.000,13,17,0,30,0
0477,2 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,20,1,12,5,6,1,1981,8,12,1,1,30.000,8,12,15,30,0
0478,2 ,79.51,80.64,81.41,82.82,75.99,77.24,69.01,73.66,2,35,1,14,5,6,1,1984,5,11,4,6,38.000,23,13,20,20,0
0479,2 ,63.24,72.12,44.45,67.55,63.52,61.58,51.11,74.09,2,10,1,6,3,5,1,1992,6,5,3,5,35.000,23,19,15,0,0
0480,2 ,78.35,71.61,74.05,81.03,605.63,63.92,75.49,73.66,1,5,4,8,3,1,1,1988,5,10,6,4,45.000,30,26,40,60,0
0481,2 ,85.04,85.63,81.56,88.88,83.85,83.06,84.31,84.77,2,10,2,4,6,6,2,1988,5,8,7,9,40.000,23,20,35,0,0
0482,2 ,82.47,81.09,81.41,77.77,79.60,74.70,77.73,84.77,1,5,2,10,2,3,#NULL!,1988,6,8,7,9,40.000,35,26,10,10,0
0483,2 ,82.80,88.27,81.56,88.88,84.08,83.60,77.71,81.44,1,10,2,10,3,2,#NULL!,1989,4,7,7,9,50.000,45,40,10,10,0
0484,2 ,78.17,78.49,59.47,81.93,87.15,78.31,88.88,88.45,2,30,2,10,1,1,#NULL!,1990,5,7,3,2,50.000,20,30,30,10,0
0485,2 ,79.66,79.83,74.05,81.45,79.54,77.77,73.40,77.76,1,9,2,8,1,1,#NULL!,1989,5,6,7,9,60.000,55,50,10,10,0
0486,2 ,75.36,87.65,81.56,84.72,87.09,83.60,84.44,85.20,2,8,2,5,3,2,#NULL!,1989,6,7,7,9,56.000,50,45,10,10,0
0487,2 ,83.93,83.24,81.56,85.19,77.54,88.35,82.16,84.77,2,12,1,12,4,5,2,1983,6,15,3,1,50.000,45,46,15,8,0
0488,2 ,72.10,72.09,77.81,70.34,63.58,69.41,71.24,69.98,2,34,1,8,3,5,1,1986,6,11,3,2,40.000,20,15,0,0,0
0489,2 ,85.57,84.38,77.81,77.77,83.79,83.27,86.92,84.42,1,8,1,7,5,6,1,1990,6,7,3,7,42.000,14,26,0,0,0
0490,2 ,80.58,84.50,81.56,88.88,85.85,88.88,84.49,85.54,1,12,2,9,2,3,#NULL!,1989,5,8,7,9,60.000,50,40,10,10,0
0491,2 ,74.25,73.35,70.44,77.77,81.00,80.52,80.05,81.44,2,40,1,11,3,5,1,1980,4,16,4,3,50.000,35,45,0,0,0
0492,2 ,55.58,63.04,66.69,66.66,60.40,63.59,66.67,66.66,1,15,3,10,3,5,1,1985,6,12,4,3,40.000,25,15,35,11,0
0493,2 ,72.41,74.52,70.44,77.77,74.52,72.49,71.24,73.66,1,6,1,7,3,5,1,1990,5,8,4,2,50.000,45,40,0,0,0
0494,1 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,1,10,1,11,3,5,1,1981,6,16,3,5,13.000,7,4,20,0,0
0495,1 ,62.60,60.70,66.69,67.55,68.65,61.71,59.95,73.66,2,15,1,12,3,5,1,1978,6,17,3,3,28.000,11,17,0,25,0
0496,1 ,86.09,92.48,85.17,88.45,84.02,86.14,86.54,92.55,2,10,1,8,5,6,1,1985,6,10,6,3,22.000,11,13,10,0,1
0497,1 ,81.69,75.52,81.56,78.19,75.82,75.56,82.16,78.54,2,30,1,8,4,2,#NULL!,1989,6,7,5,1,20.000,9,15,35,0,0
0498,1 ,82.10,85.26,81.56,85.61,77.82,83.60,80.01,73.24,2,38,1,15,3,5,1,1982,6,15,5,5,20.000,15,10,25,5,0
0499,1 ,69.83,72.09,77.81,77.77,74.69,72.49,71.04,77.76,2,36,1,8,3,5,1,1983,5,12,6,4,25.000,18,10,50,0,0
0500,1 ,85.04,90.18,81.56,84.72,88.87,75.56,73.14,85.54,2,21,2,10,5,6,1,1985,4,11,4,2,23.000,14,19,0,0,0
0501,1 ,66.69,67.95,62.94,66.66,66.65,63.92,75.48,63.33,1,20,1,5,3,5,1,1982,5,14,6,7,20.000,8,10,20,10,0
0502,1 ,81.49,84.50,81.56,85.61,83.85,80.52,84.49,81.87,2,40,1,16,3,5,1,1980,6,16,5,2,35.000,33,30,12,14,0
0503,1 ,85.78,87.65,81.56,88.88,84.08,80.85,88.88,82.22,2,37,1,15,3,5,1,1983,6,15,5,6,80.000,75,50,20,5,0
0504,1 ,82.23,81.86,81.56,82.35,87.09,83.60,84.44,78.11,2,34,2,10,3,5,1,1986,6,10,5,3,30.000,15,20,20,0,0
0505,1 ,80.77,80.81,88.92,77.77,85.63,77.77,82.15,85.54,2,33,3,3,2,3,#NULL!,1987,5,10,5,6,32.000,12,10,18,30,0
0506,1 ,69.65,64.57,62.94,66.19,74.85,74.70,71.09,70.33,2,20,2,8,3,5,1,1974,5,23,4,6,30.000,14,16,20,0,0
0507,1 ,76.70,83.39,88.92,85.61,77.76,88.88,86.59,85.54,2,38,1,15,3,5,1,1982,8,15,5,3,70.000,50,50,10,0,0
0508,1 ,70.76,88.92,81.41,89.35,93.35,83.06,75.43,77.76,2,24,2,1,1,1,#NULL!,1996,6,3,7,9,50.000,25,35,25,10,0
0509,1 ,83.04,82.63,77.81,85.61,87.09,77.77,79.87,84.77,1,30,1,20,3,5,1,1980,5,17,4,2,55.000,22,25,20,20,0
0510,1 ,79.84,80.81,88.92,81.03,83.85,80.52,80.12,81.09,2,35,2,3,3,5,1,1985,5,12,6,7,40.000,16,10,18,25,0
0511,1 ,84.67,85.63,85.17,81.45,85.63,83.60,79.87,84.77,2,34,1,13,3,5,1,1986,6,13,5,4,70.000,60,50,20,8,0
0512,1 ,82.10,82.63,81.56,85.61,87.09,83.60,80.07,77.76,2,34,2,13,3,5,1,1986,4,13,5,5,80.000,75,50,20,7,0
0513,1 ,82.10,81.36,81.56,85.61,81.00,80.52,84.44,78.11,2,36,2,15,3,5,1,1984,6,15,5,4,50.000,40,40,20,5,0
0514,1 ,76.70,77.80,77.81,74.08,77.76,77.77,77.77,77.76,2,39,1,15,4,5,2,1981,8,15,5,3,60.000,50,50,20,0,0
0515,1 ,68.73,71.91,70.44,70.82,72.91,72.49,64.57,69.98,1,15,1,10,3,6,1,1986,5,10,5,3,40.000,35,36,15,5,0
0516,1 ,82.47,77.80,77.81,84.72,82.78,83.60,84.44,84.77,2,20,2,12,5,6,1,1988,5,10,1,2,13.000,7,3,0,50,0
0517,1 ,79.27,81.09,77.81,78.19,75.99,77.77,71.04,81.87,2,15,2,5,3,5,1,1987,6,10,5,4,15.000,12,10,25,10,0
0518,1 ,81.69,79.83,74.20,85.19,82.61,83.60,86.79,81.44,1,20,1,10,5,6,2,1985,5,10,7,9,29.000,24,12,35,0,0
0519,1 ,81.69,85.63,74.20,85.19,84.02,83.60,82.35,81.44,2,11,2,7,3,5,1,1984,4,11,7,9,24.000,18,20,0,0,0
0520,1 ,76.70,75.37,77.81,77.77,77.76,77.77,77.77,77.76,1,6,1,6,4,4,#NULL!,1980,6,14,5,3,26.000,7,7,43,23,0
0521,1 ,75.96,82.26,59.33,71.24,68.49,75.56,75.66,73.66,2,30,1,8,3,3,1,1990,6,8,6,2,24.000,13,12,20,0,0
0522,1 ,79.84,69.58,74.05,66.66,72.75,69.41,73.34,55.12,2,34,2,12,3,5,1,1986,5,11,5,4,20.000,15,10,20,10,0
0523,1 ,84.32,77.40,77.81,81.03,84.02,83.60,86.59,81.87,2,35,1,1,3,5,1,1984,6,12,3,6,20.000,15,10,0,0,0
0524,1 ,71.30,87.65,70.44,84.72,87.15,83.60,91.16,88.87,2,5,1,6,3,5,1,1990,5,7,6,7,38.000,13,13,0,0,0
0525,1 ,72.82,74.61,70.44,70.82,77.93,75.03,75.66,74.44,2,6,1,3,2,3,#NULL!,1990,5,8,6,2,33.000,23,28,20,15,0
0526,1 ,78.92,81.05,85.17,81.93,84.08,77.45,79.87,73.66,2,35,2,10,3,3,1,1985,5,13,5,2,39.000,26,11,30,20,0
0527,1 ,81.69,85.51,88.92,81.93,88.87,75.23,93.27,85.20,2,35,3,5,5,1,1,1985,5,13,4,6,34.000,18,10,30,20,0
0528,1 ,64.86,63.69,66.69,55.13,61.86,58.63,66.60,66.31,2,12,1,11,3,5,1,1983,6,12,3,4,30.000,16,20,0,0,0
0529,1 ,83.52,85.63,81.56,92.56,88.65,94.17,84.31,84.77,1,39,2,5,6,6,2,1980,6,16,4,2,20.000,8,7,20,30,0
0530,1 ,71.68,72.58,70.44,66.66,71.51,69.74,71.24,69.98,1,20,3,3,3,5,1,1984,6,12,4,4,15.000,10,10,30,0,0
0531,1 ,85.78,76.14,81.56,84.72,82.78,93.84,88.88,96.30,2,18,1,7,3,5,1,1988,6,8,6,5,15.000,9,9,20,6,0
0532,1 ,78.92,77.80,77.81,70.34,77.76,80.52,80.07,81.09,2,15,2,3,3,5,1,1987,6,10,5,5,16.000,8,9,20,5,0
0533,1 ,79.51,79.64,85.17,81.45,85.79,77.77,77.79,78.54,2,10,1,5,4,6,1,1991,5,8,4,8,25.000,18,10,0,17,0
0534,1 ,84.26,79.19,66.84,85.61,85.85,83.60,77.73,84.77,2,38,2,12,3,5,1,1982,6,18,6,6,40.000,30,36,25,0,0
0535,1 ,72.22,80.20,74.05,70.34,72.91,75.03,77.77,73.66,1,5,2,3,4,5,2,1978,5,20,4,2,19.000,12,9,0,20,0
0536,1 ,78.35,78.66,70.44,77.77,77.93,75.03,73.20,73.66,2,40,4,15,4,5,2,1980,6,17,4,2,25.000,15,18,0,13,0
0537,1 ,72.67,75.41,77.81,74.08,80.84,80.85,75.63,77.76,2,30,2,5,3,2,#NULL!,1988,5,8,5,2,30.000,10,10,30,20,0
0538,1 ,79.46,81.50,81.56,84.72,82.72,85.81,81.97,88.10,1,10,2,3,3,2,#NULL!,1984,5,13,3,4,36.000,20,15,32,12,0
0539,1 ,64.31,66.41,62.94,62.50,60.09,52.81,53.39,62.55,1,15,1,12,5,6,1,1983,5,12,3,5,30.000,11,16,20,0,0
0540,1 ,79.66,85.63,81.56,81.45,87.09,83.60,84.44,82.22,2,40,1,15,4,5,2,1980,5,18,5,4,70.000,50,50,10,0,0
0541,1 ,85.78,80.23,88.92,88.88,87.09,86.34,88.88,84.77,2,38,1,20,3,5,1,1982,6,14,6,3,40.000,35,36,15,0,1
0542,1 ,79.66,82.63,66.84,82.35,80.84,83.60,82.15,81.44,2,20,1,10,3,5,1,1986,6,10,3,6,40.000,30,25,15,8,0
0543,1 ,85.04,80.60,81.56,82.35,87.09,83.60,86.60,73.66,2,34,1,11,3,5,1,1986,6,10,5,5,60.000,45,40,15,7,0
0544,1 ,79.84,75.78,70.44,81.03,74.69,72.49,71.24,74.44,2,15,1,6,3,5,1,1983,5,14,3,5,11.000,7,7,20,6,0
0545,1 ,81.87,77.80,77.81,92.61,81.31,77.77,81.97,93.32,1,25,1,1,4,5,2,1980,6,16,3,2,15.000,8,10,25,10,0
0546,1 ,82.23,81.21,74.20,88.88,84.02,83.60,88.88,85.54,2,34,2,12,3,5,1,1986,5,12,6,4,20.000,15,16,18,6,0
0547,1 ,78.61,80.52,81.41,78.19,80.78,80.52,79.86,78.54,1,7,3,3,3,5,1,1987,5,10,4,2,17.000,9,12,30,5,0
0548,1 ,77.81,77.80,74.05,77.77,77.76,77.77,77.77,77.76,2,8,1,10,3,2,#NULL!,1990,5,6,3,5,11.000,16,10,50,20,0
0549,1 ,73.93,77.80,70.44,84.72,77.76,74.70,68.96,74.44,2,25,1,1,3,5,1,1982,3,15,6,2,26.000,15,18,15,10,0
0550,1 ,72.82,75.37,81.56,77.77,71.45,71.62,73.38,66.31,2,28,1,9,2,3,#NULL!,1992,6,5,5,4,20.000,16,15,0,0,0
0551,1 ,78.74,78.78,74.05,74.08,74.69,72.49,73.38,76.99,1,25,2,15,4,5,2,1980,5,17,1,2,25.000,15,18,0,13,0
0552,1 ,82.41,82.63,85.17,81.45,85.63,80.85,82.35,81.44,2,31,1,6,5,6,1,1989,5,8,6,2,27.000,14,11,0,0,1
0553,1 ,81.69,88.95,85.17,88.88,82.78,83.60,88.87,88.87,2,30,1,10,3,5,1,1990,5,6,3,5,20.000,15,15,20,0,0
0554,1 ,68.73,70.96,62.94,70.34,68.12,69.41,71.04,63.33,1,8,2,10,1,1,#NULL!,1989,5,8,4,2,20.000,15,10,0,0,0
0555,1 ,84.12,82.34,74.20,88.88,85.63,86.14,82.03,85.54,1,7,2,5,5,3,1,1992,5,6,2,4,25.000,15,10,40,10,0
0556,1 ,77.81,77.80,70.44,81.03,85.85,86.14,82.35,77.34,1,15,1,11,1,1,#NULL!,1990,6,8,7,9,28.000,20,20,10,5,0
0557,1 ,86.51,90.79,62.94,91.67,74.58,85.81,88.87,89.22,2,31,1,3,5,6,1,1988,5,8,6,2,25.000,13,17,0,20,0
0558,1 ,86.89,92.07,81.56,92.14,92.11,94.17,93.32,92.98,2,29,1,10,4,5,2,1990,6,7,5,7,25.000,10,7,25,30,0
0559,1 ,66.32,72.85,44.32,63.40,46.21,61.38,70.90,59.23,2,25,1,6,4,2,#NULL!,1995,5,3,2,5,35.000,24,25,30,0,0
0560,1 ,80.19,85.22,77.81,85.19,80.78,86.14,80.05,85.54,1,20,1,8,3,3,1,1985,6,11,3,2,30.000,22,15,50,0,0
0561,1 ,78.95,84.87,81.41,88.88,84.02,80.52,84.44,84.77,2,31,1,8,6,6,2,1989,6,9,4,3,35.000,26,31,13,5,0
0562,1 ,87.07,88.92,81.56,85.61,83.85,83.06,82.21,88.87,1,14,2,10,3,5,1,1982,6,14,5,2,34.000,26,12,30,15,0
0563,1 ,85.04,81.46,77.81,77.77,71.51,72.49,75.49,74.44,1,20,1,10,4,4,#NULL!,1986,6,11,5,5,50.000,40,40,10,5,0
0564,1 ,72.28,77.80,81.56,77.77,80.84,77.77,84.44,74.09,1,20,2,10,4,6,1,1986,6,10,3,2,60.000,55,50,15,10,0
0565,1 ,77.21,81.36,81.56,81.45,82.61,78.31,84.44,81.44,2,34,2,12,3,5,1,1986,5,12,5,3,80.000,60,60,10,0,0
0566,1 ,67.62,66.69,66.69,70.82,69.73,69.41,71.24,66.66,3,6,2,6,2,3,#NULL!,1990,5,6,2,2,50.000,20,30,20,8,0
0567,1 ,72.82,82.87,51.96,78.19,71.90,80.85,80.30,73.66,2,5,2,2,5,3,1,1991,6,4,7,9,48.000,19,18,30,20,0
0568,1 ,96.34,99.03,81.56,99.98,99.98,99.99,99.99,95.88,2,36,1,2,3,2,#NULL!,1983,4,14,7,9,70.000,43,30,0,30,0
0569,1 ,65.39,55.76,40.70,60.13,71.20,78.31,61.95,59.57,2,18,1,4,3,2,#NULL!,1995,6,3,4,2,22.000,8,7,30,20,0
0570,1 ,64.99,71.11,88.77,64.29,77.93,64.12,53.53,69.98,2,7,1,5,1,1,#NULL!,1994,6,4,5,5,35.000,21,13,20,20,0
0571,1 ,79.27,83.48,77.81,84.72,84.08,77.45,82.16,81.87,2,5,1,2,4,5,2,1975,8,20,9,11,80.000,75,66,0,0,0
0572,1 ,90.06,88.60,77.81,92.61,81.31,83.27,91.24,77.76,2,18,1,15,3,5,1,1980,4,16,5,1,30.000,20,22,30,0,0
0573,1 ,85.19,88.92,92.67,81.93,88.87,91.63,93.26,88.87,2,8,1,10,3,5,1,1990,6,6,4,2,50.000,10,19,30,20,0
0574,1 ,72.10,69.98,70.44,69.92,72.97,66.66,68.96,70.76,2,37,1,8,4,5,2,1982,5,14,3,8,20.000,7,10,30,30,0
0575,1 ,63.92,58.01,59.33,74.50,59.70,58.83,53.60,76.99,1,30,2,10,3,5,1,1990,6,8,2,4,25.000,10,14,0,31,0
0576,1 ,66.69,70.35,62.94,77.77,69.67,77.77,79.87,73.66,2,40,2,18,3,5,1,1980,3,18,2,3,30.000,11,15,0,25,0
0577,1 ,66.69,70.35,66.69,70.34,67.90,75.03,82.15,66.66,2,40,2,18,3,5,1,1980,5,18,2,3,30.000,9,20,0,0,0
0578,1 ,77.81,77.80,77.81,77.77,77.76,77.77,75.68,73.66,2,12,2,3,4,5,2,1987,6,9,7,9,25.000,22,10,30,0,0
0579,1 ,57.41,55.58,55.58,55.55,55.55,63.59,59.93,59.23,1,17,1,8,5,6,1,1987,5,9,4,1,30.000,25,26,10,0,0
0580,1 ,66.51,70.38,62.94,66.66,66.65,75.03,82.15,66.66,2,40,1,18,3,5,1,1980,6,18,2,3,30.000,13,13,0,30,0
0581,1 ,75.78,73.35,70.44,77.77,74.52,74.70,75.49,73.66,2,36,1,12,3,5,1,1984,3,12,3,7,7.000,18,22,0,0,0
0582,1 ,74.98,87.21,66.69,74.93,68.43,72.49,88.87,70.33,2,29,2,5,3,2,#NULL!,1990,6,6,4,2,11.000,14,20,0,0,0
0583,1 ,88.92,85.63,77.81,85.61,80.78,86.14,91.04,88.87,2,13,2,12,3,5,1,1984,6,12,4,1,24.000,15,19,30,10,0
0584,1 ,79.64,78.56,74.05,81.93,80.94,75.23,66.67,70.33,2,10,2,3,3,5,1,1990,6,7,4,7,21.000,7,11,0,20,0
0585,1 ,63.17,70.46,85.31,62.97,77.76,66.66,73.41,77.76,1,10,1,8,3,5,1,1990,6,7,6,3,27.000,18,15,0,20,0
0586,1 ,86.89,84.46,81.56,81.45,81.00,83.06,86.59,84.77,2,13,1,6,2,3,#NULL!,1988,6,9,2,6,25.000,12,7,20,30,0
0587,1 ,73.21,74.80,74.05,81.45,74.69,83.06,80.05,81.87,2,10,2,5,3,5,1,1992,4,6,6,4,30.000,18,26,10,10,0
0588,1 ,75.78,82.22,81.56,85.61,74.69,83.06,79.87,81.87,1,8,2,5,3,5,1,1991,6,7,6,4,35.000,20,28,10,10,0
0589,2 ,68.00,85.22,74.05,81.03,79.23,72.49,75.43,77.76,2,8,2,4,3,5,1,1992,4,5,2,5,11.000,14,12,30,0,0
0590,2 ,84.86,90.45,85.31,88.88,84.02,83.60,90.98,81.44,2,27,1,5,2,3,#NULL!,1992,6,6,6,8,15.000,8,8,0,0,1
0591,2 ,77.11,76.79,77.81,78.24,75.99,69.74,71.25,78.11,2,8,3,5,4,4,#NULL!,1989,5,8,4,6,26.000,7,23,25,3,0
0592,2 ,79.66,77.80,85.17,81.03,82.78,86.14,82.16,84.77,2,35,2,9,6,6,2,1985,6,11,6,2,35.000,20,15,0,0,0
0593,2 ,87.40,90.94,99.03,95.82,98.20,96.92,93.46,92.98,1,29,1,8,3,5,1,1986,8,7,3,3,14.000,8,11,30,0,0
0594,2 ,82.80,82.22,85.17,78.19,82.30,75.03,77.97,74.44,2,33,1,19,6,6,2,1980,6,15,4,6,14.000,8,5,17,25,0
0595,2 ,40.36,47.71,51.82,52.75,53.71,57.76,55.54,52.22,2,31,1,3,3,2,#NULL!,1988,4,11,5,6,12.000,8,9,15,0,0
0596,2 ,90.95,92.61,81.41,92.14,89.09,88.88,77.77,88.87,1,39,2,6,4,4,#NULL!,1980,4,15,4,2,20.000,11,6,26,20,0
0597,2 ,71.15,66.97,74.05,73.61,66.65,63.92,64.51,55.90,2,5,2,8,3,5,1,1985,6,10,2,4,30.000,11,9,30,20,0
0598,2 ,79.84,77.80,70.44,78.24,68.43,77.77,77.77,73.66,2,25,2,15,3,5,1,1984,5,14,3,2,50.000,27,18,20,20,0
0599,2 ,83.21,78.56,92.67,74.50,83.85,80.85,75.49,74.09,2,35,1,15,5,6,1,1985,5,13,2,2,28.000,13,9,20,25,0
